Red,Green,Blue
10164,7410,4978
9763,7054,4704
9832,7044,4673
9646,6942,4619
8950,6545,4430
8849,6580,4498
8779,6604,4543
8789,6731,4663
8881,6850,4745
8670,6738,4681
8658,6675,4606
8741,6773,4639
8548,6655,4545
8548,6655,4545
8476,6622,4506
8595,6731,4576
8746,6824,4621
8542,6695,4549
8411,6692,4589
8432,6698,4571
8586,6764,4576
8878,6978,4694
8933,6896,4566
8980,6902,4561
8882,6839,4528
8928,6870,4557
8888,6809,4520
8811,6752,4509
8817,6817,4587
8502,6634,4493
8330,6464,4381
8353,6459,4390
8077,6308,4352
7846,6113,4246
8175,6361,4411
8376,6532,4484
8602,6639,4480
8091,6346,4349
7847,6208,4287
7687,6114,4253
7884,6222,4298
8126,6379,4366
7603,6075,4231
6925,5736,4104
6408,5459,3987
7335,6061,4290
8338,6703,4576
7552,6172,4290
7300,5933,4113
9377,7281,4753
11124,8347,5241
11376,8452,5245
11580,8638,5384
10919,8181,5153
10266,7836,5075
10933,8157,5122
10718,8107,5176
10169,7745,5037
9719,7456,4955
9568,7350,4888
9781,7415,4865
9003,6908,4600
8833,6870,4604
8368,6729,4561
8577,6925,4659
9159,7324,4902
9159,7324,4902
9337,7374,4898
9300,7274,4812
8802,6824,4548
8677,6699,4512
8940,6841,4637
9522,7101,4743
10074,7512,4981
10268,7647,5031
10165,7581,5003
9453,7146,4798
9265,7039,4743
8613,6646,4558
8697,6716,4587
8374,6518,4489
8241,6406,4422
8471,6567,4571
8991,6821,4737
9742,7271,4992
9569,7135,4895
8487,6523,4587
8568,6528,4542
9159,7105,4969
9778,7465,5150
9882,7506,5167
9715,7089,4775
9243,6802,4665
8919,6516,4477
9234,6786,4670
